DOCKNO,DOCKSF,DOCKDT,ORGNCD,DESTCD,DIPLOMAT,CDELDT,CSGNCD,CSGNNM,CSGNPIN,CSGNPHONE,CSGECD,CSGENM,CSGEPIN,CSGEPHONE,TRN_MOD,PKGSNO,PKGSTY,PRODCD,CFT_YN,CFT_LEN,CFT_WID,CFT_HET,CFT_TOTAL,CFT2KG,ACTUWT,CHRGWT,PAYBAS,FREIGHT,FOV,DKTCHG,CODCHG,DIPLOMATCHG,OTCHG,CESS,SVCTAX,FUELCHRG,DKTTOT,BACODE,INSUYN,INSUPL,INSUDT,INVOICE_NO,INVOICE_DT,DECLVAL,DECLCODAMT,CTR_NO,DOCUMENT_ENCL,SALETAXNO,PERMIT_NO,PER_VALID_UPTO,MODVAT_ENCL,MODVAT_NO,TOT_MODVAT,TOT_COVERS,DACC_YN,RUTCD,TOHUB_BR,DELAYBIL,BILL_NO,BL_TRNSFR,BKGPDCNO,DLYPDCNO,DKT_STATUS,APPROVED_YN,APPROVEDBY,ENTRYBY,DFlag_YN,RemQtyPckg,PTCAT,COMMIT_MODE,Service_Class,COD_DOD,CSGNADD,CSGEADD,DOCUPDTFLAG,spl_svc_req,PO_Number,Recd_Dept,Recd_Person,FRT_RATE,draft_YN,RemActuwt,Delv_BACODE,Old_DOCKNO,DKT_ACTFLAG,SOURCEHUB,DOC_CURLOC,REASSIGN_DESTCD,OLD_DOCKSF,TCNO,TCSF,THCNO,THCSF,C_CODE,ARRV_DT,DEP_DT,AWBILLNO,AWfltno,misroute_yn,csgecd_enter,csgenm_enter,ACTDIPLOMATCHG,OCTROI,DKT_ASSIGN,DKT_ASSIGN_EMPCD,CSGN_ASSIGN,CSGN_ASSIGN_EMPCD,MIS_ROUTE_DKT_BRNCH,MIS_ROUTE_CSGN_BRNCH,csgn_assign_flg,csgn_assign_flg_tohubbr,PaidMR,ToPayMR,ToPayBill,ToPayBillMR,OctroiMR,OctroiBill,OctroiBillMR,TBB_Bill,reassign_csgncd,trial_tbb,trial_tbb_bill,airbillno,airbillamt,airline_name,flightno,deptime_flight,dept_dt_flight,TRIAL_TBB_BILLMR,TBB_BILLMR,dmrg,FINCLOSEDT,OCT_FINCLOSEDT,dkt_dly,DKT_APPROVE,approve_by,rebook,baddebts,lying_code1,lying_date1,lying_code2,lying_date2,lying_code3,lying_date3,csge_sale,TopayBilling,act_diplomatFlag,srno,CSGECITY,CSGEEMAIL,CSGNCITY,CSGNEMAIL,POD_File,DOCKDT_Entry,DKTRANDOM_NO,DOCKET_MODE,RATE_TYPE,DACC_CHRG,pkgsno_dly,pkgsno_pending,PDCUPDT_ATTEMPT,billstatus,podhocleardate,csge_comment,cleared_at,arrived_YN,detail_YN,dely_dt,pod_dt,pod_currlevel,pod_currloccd,pod_destloccd,pod_fwdloccd,pod_prevloccd,pod_recvd_dt,pod_fwd_dt,pod_srno,pod_status,FREIGHT_CALC,OLD_CSGNCD,OLD_CSGNNM,OLD_CSGECD,OLD_CSGENM,OLD_ENTRYBY,airchrgwt,dly_loc,fov_per,DKT_CANCEL,dkt_cancel_on,dkt_cancel_by,PARTY_CODE,tohub_dest_reassigndt,PDCDT_ATTEMPT,BKG_COST,THC1_COST,THC2_COST,THC3_COST,THC4_COST,THC5_COST,DLY_COST,PDC_LS_YN,PDC_LSNO,ACT_PKGSNO,ARRV_PKGSNO,SFD_PKGSNO,DELIVERED_PKGSNO,RETURNED_PKGSNO,STOCK_PKGSNO,pod_closeYN,pod_csgncd,tmp_dlypdcno,old_csgepin,old_csgephone,old_csgeadd,old_csgecity,old_csgeemail,old_paybas,old_otchg,unloadchgs,old_unloadchgs,old_party_code,addl_diplomatchgs,demchgs,old_addl_diplomatchgs,old_demchgs,dockchng_updtby,dockchng_updton,dkt_detain,dkt_detain_reason,dkt_detain_on,dkt_detain_by,dkt_detain_remove_reason,dkt_detain_remove_on,dkt_detain_remove_by,godown_id,detain_no_days,sms_YN,bill_type,detain_reason,Detain_YN,stax_paidby,stax_regno,pickup_godown_yn,dely_godown_yn,pickup_door_yn,dely_door_yn,ftl_types,DCCharge,DDCharge,MathadiCharge,StatisticalCharge,RiskCharge,FODCharge,fincmplbr,Vendor_Type,detained_at,DocketType,hld_chrg,state_chrg,hld_dlychrg,nform_chrg,Contract_Party,UGC,Pkg1,Pkg2,Godown2,Pkg3,Godown3,Pkg4,Godown4,Pkg5,Godown5,Flag_ReAssign_Location,Date_ReAssign_Location,Flag_ReAssign_PayBasis,Date_ReAssign_PayBasis,LastEditDate,LastEditBy,LastModeAtEdit,CODCollected,CODNo,Docket_Status,Party,MR_GEN,MRSNO,MRSDT,MRtype,billno,bgndt,Billsubbrcd,BillColbrcd,Vend_cd,consignor,consignee,DelyLoction,docket
632499,.,7/24/2007 12:00:00 AM,BLR,SNR,N,7/27/2007 12:00:00 AM,8888,NISARGA AGRI TECHNOLOGIES,560092,,8888,ASEAN AGRI TECHNOLOGIES,,,2,19,G01,,N,0.00,0.00,0.00,0.00,0.0,190.0,190.0,P03,950,0,150,0,0,0,0,0,0,1155,V00040    ,N,,,,,99450,0,632499.,N,,,,N,,0,0,N,S0025,THW,N,,N,PSBLR03385,,OK,N,,P1023,N,0,X,,1,N,WHITEFIELD,NASIK,N,,,,,0.00,Y,0.0,,,A,,BLR,SNR,,MFBLR05521,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203660,NASIK,,BANGALORE,,,7/24/2007 10:32:00 PM,BLR7/24/200722:31-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignee,,N,Y,Y,N,,0,0,0,30,0,25,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,N,,,,,,,,,8888 : ASEAN AGRI TECHNOLOGIES,8888 : NISARGA AGRI TECHNOLOGIES,Sinnar,632499.
632500,.,7/24/2007 12:00:00 AM,BLR,IND,N,7/27/2007 12:00:00 AM,8888,HYDROLINE PRODUCTS LTD,560049,,G009112,L & T- CASE EQUIPMENT PRIVATE LIMITED,,,2,1,G01,,N,0.00,0.00,0.00,0.00,0.0,25.0,25.0,P06,350,0,0,0,0,0,0,0,0,350,V00040    ,N,,,,,21841,0,632500.,N,,,,N,,0,0,N,S0025,THW,N,,N,PSBLR03385,,OK,N,,P1023,N,0,X,,1,N,WHITEFIELD,,N,,,,,0.00,Y,0.0,,,A,,BLR,IND,,MFBLR05521,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203661,,,BANGALORE,,,7/24/2007 10:32:00 PM,BLR7/24/200722:31-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,G009112,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignee,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,N,,,,,,,,,G009112 : L & T- CASE EQUIPMENT PRIVATE LIMITED,8888 : HYDROLINE PRODUCTS LTD,Indore,632500.
632649,.,7/24/2007 12:00:00 AM,BLR,STR,N,7/26/2007 12:00:00 AM,8888,HIGHTEMP FURNACES LTD,560058,08028395917,8888,LAWKIN LTD,,,2,1,G01,,N,0.00,0.00,0.00,0.00,0.0,20.0,20.0,P01,350,0,0,0,0,0,0,0,0,350,V00726    ,N,,,,,6500,0,632649.,N,,,,N,,0,0,N,S0025,STR,N,,N,PSBLR03387,,OK,N,,P1023,N,0,X,,1,N,PEENYA,SATARA,N,,,,,0.00,Y,0.0,,,A,,BLR,STR,,MFBLR05518,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,Y,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203611,SATARA,,BANGALORE,,,7/24/2007 9:42:00 PM,BLR7/24/200721:42-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignor,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,Y,MRBLR07989,7/24/2007 12:00:00 AM,1,,,,,,8888 : LAWKIN LTD,8888 : HIGHTEMP FURNACES LTD,Satara,632649.
632650,.,7/24/2007 12:00:00 AM,BLR,WLJ,N,7/27/2007 12:00:00 AM,8888,AUMA INDIA LTD,560058,08028394365,8888,FOURESS ENGINEERING INDIA LTD,431148,,2,2,G18,,N,0.00,0.00,0.00,0.00,0.0,250.0,250.0,P03,1125,0,0,0,0,0,0,0,0,1125,V00726    ,N,,,,,111711,0,632650.,N,,,,N,,0,0,N,S0025,THW,N,,N,PSBLR03387,,OK,N,,P1023,N,0,X,,1,N,PEENYA,AURANGABAD,N,,,,,0.00,Y,0.0,,,A,,BLR,WLJ,,MFBLR05521,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203612,AURANGABAD,,BANGALORE,,,7/24/2007 9:42:00 PM,BLR7/24/200721:42-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignee,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,N,,,,,,,,,8888 : FOURESS ENGINEERING INDIA LTD,8888 : AUMA INDIA LTD,Waluj       (Aurangabad),632650.
638281,.,7/24/2007 12:00:00 AM,BLR,HYD,N,7/26/2007 12:00:00 AM,8888,ASIAN PPG INDUSTRIES LTD,560058,,G001001,ASIAN PPG INDUSTRIES LIMITED,,,2,3,G01,,N,0.00,0.00,0.00,0.00,0.0,30.0,30.0,P06,350,0,50,0,0,0,0,0,0,400,V00726    ,N,,,,,9886,0,638281.,N,,,,N,,0,0,N,S0011,HYD,N,,N,PSBLR03387,,OK,N,,P1023,N,0,X,,1,N,PEENYA,,N,,,,,0.00,Y,0.0,,,A,,BLR,HYD,,MFBLR05522,.,THBLR02410,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203641,,,BANGALORE,,,7/24/2007 10:07:00 PM,BLR7/24/200722:06-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,G001001,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignee,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,N,,,,,,,,,G001001 : ASIAN PPG INDUSTRIES LIMITED,8888 : ASIAN PPG INDUSTRIES LTD,Hyderabad,638281.
638282,.,7/24/2007 12:00:00 AM,BLR,KRD,N,7/26/2007 12:00:00 AM,8888,SEALED AIR INDIA PVT LTD,560058,560058,8888,HEMATIC MOTORS PVT LTD,,,2,2,G01,,N,0.00,0.00,0.00,0.00,0.0,60.0,60.0,P03,240,0,150,0,0,0,0,0,0,420,V00726    ,N,,,,,18540,0,638282.,N,,,,N,,0,0,N,S0025,KRD,N,,N,PSBLR03387,,OK,N,,P1023,N,0,X,,1,N,PEENYA,KARAD,N,,,,,0.00,Y,0.0,,,A,,BLR,KRD,,MFBLR05517,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203608,KARAD,,BANGALORE,08041179393,,7/24/2007 9:42:00 PM,BLR7/24/200721:42-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignee,,N,N,Y,Y,,0,0,0,30,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,N,,,,,,,,,8888 : HEMATIC MOTORS PVT LTD,8888 : SEALED AIR INDIA PVT LTD,Karad,638282.
629797,.,7/24/2007 12:00:00 AM,BLR,THW,N,7/26/2007 12:00:00 AM,8888,KAMALA INDUSTRIES ,,,8888,BOSCH CHASSIS SYSTEMS INDIA LTD,,,2,1,G07,,N,0.00,0.00,0.00,0.00,0.0,10.0,10.0,P01,350,0,0,0,0,0,0,0,0,350,V00040    ,N,,,,,11525,0,629797.,N,,,,N,,0,0,N,S0025,THW,N,,N,,,OK,N,,P1023,N,0,X,,1,N,TUMKUR,WOGHALI,N,,,,,0.00,Y,0.0,,,A,,BLR,THW,,MFBLR05520,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,Y,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203522,PUNE,,BANGALORE,,,7/24/2007 6:25:00 PM,BLR7/24/200718:25-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,,,,,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignor,,Y,N,N,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,Y,MRBLR07984,7/24/2007 12:00:00 AM,1,,,,,,8888 : BOSCH CHASSIS SYSTEMS INDIA LTD,8888 : KAMALA INDUSTRIES ,Tathawade,629797.
629798,.,7/24/2007 12:00:00 AM,BLR,THW,N,7/26/2007 12:00:00 AM,8888,PTNPL BLR,,08023717767,8888,HOO PTNPL,411234,66015161,2,1,G01,,N,0.00,0.00,0.00,0.00,0.0,5.0,5.0,P04,1,0,0,0,0,0,0,0,0,1,V00040    ,N,,,,,1,0,629798.,N,,,,N,,0,0,N,S0025,THW,N,,N,,,OK,N,,P1023,N,0,X,,1,N,BANGALORE,P & A DEPT,N,,,,,0.00,Y,0.0,,,A,,BLR,THW,,MFBLR05520,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203567,PUNE,,BANGALORE,,,7/24/2007 8:22:00 PM,BLR7/24/200720:21-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,,,,,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,NA,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,N,,,,,,,,,8888 : HOO PTNPL,8888 : PTNPL BLR,Tathawade,629798.
638288,.,7/24/2007 12:00:00 AM,BLR,IND,N,7/27/2007 12:00:00 AM,8888,WIPRO INFRASTRUCTURE ENGINEERING LTD,560058,,W00050294,L & T CASE EQUIP. FOR 3.50 - BANGALORE,,,2,1,G18,,N,0.00,0.00,0.00,0.00,0.0,50.0,50.0,P06,150,0,0,0,0,0,0,0,0,150,V00726    ,N,,,,,18120,0,638288.,N,,,,N,,0,0,N,S0025,THW,N,,N,PSBLR03387,,OK,N,,P1023,N,0,X,,1,N,PEENYA,,N,,,,,0.00,Y,0.0,,,A,,BLR,IND,,MFBLR05521,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203616,,,BANGALORE,,,7/24/2007 9:42:00 PM,BLR7/24/200721:42-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,W00050294,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignee,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,N,,,,,,,,,W00050294 : L & T CASE EQUIP. FOR 3.50 - BANGALORE,8888 : WIPRO INFRASTRUCTURE ENGINEERING LTD,Indore,638288.
629799,.,7/24/2007 12:00:00 AM,BLR,WLJ,N,7/27/2007 12:00:00 AM,8888,ABB LTD,,9901490015,8888,CHINTAMANI ELECTRICALS,431136,02402556191,2,1,G01,,N,0.00,0.00,0.00,0.00,0.0,8.0,15.0,P01,350,0,0,0,0,0,0,0,0,350,V00040    ,N,,,,,1500,0,629799.,N,,,,N,,0,0,N,S0025,THW,N,,N,,,OK,N,,P1023,N,0,X,,1,N,BANGALORE,BAJAJ NAGAR,WALUJ,N,,,,,0.00,Y,0.0,,,A,,BLR,WLJ,,MFBLR05521,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,Y,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203568,AURANGABAD,,BANGALORE,,,7/24/2007 8:31:00 PM,BLR7/24/200720:30-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,,,,,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignor,,Y,N,N,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,Y,MRBLR07987,7/24/2007 12:00:00 AM,1,,,,,,8888 : CHINTAMANI ELECTRICALS,8888 : ABB LTD,Waluj       (Aurangabad),629799.
638284,.,7/24/2007 12:00:00 AM,BLR,MUM,N,7/27/2007 12:00:00 AM,G009231,TECHER POWER SOLUTION PVT LTD (BLR),,,8888,THE MANAGER STATE BANK OF INDIA,410206,,2,25,G01,,N,0.00,0.00,0.00,0.00,0.0,800.0,800.0,P02,3600,489,100,0,0,0,0,0,0,4189,V00726    ,N,,,,,244420,0,638284.,N,,,,N,,0,0,N,S0025,THW,N,,N,PSBLR03387,,OK,N,,P1023,N,0,X,,1,N,,PANVEL BRANCH M G ROAD,N,,,,,4.50,Y,0.0,,,A,,BLR,MUM,,MFBLR05521,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203609,MUMBAI,,,,,7/24/2007 9:42:00 PM,BLR7/24/200721:42-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,3600.00,,,,,,,,,N,,,G009231,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Billing Party,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,G009231,N,,,,,,,,,8888 : THE MANAGER STATE BANK OF INDIA,G009231 : TECHER POWER SOLUTION PVT LTD (BLR),Nerul,638284.
632583,.,7/24/2007 12:00:00 AM,BLR,KLP,N,7/26/2007 12:00:00 AM,W00050185,PERMA WELD (BLR),,,8888,RAYMOND ZAMBAITI PVT LTD,,,2,1,G18,,N,0.00,0.00,0.00,0.00,0.0,10.0,10.0,P02,150,0,100,0,0,0,0,0,0,250,V00040    ,N,,,,,12622,0,632583.,N,,,,N,,0,0,N,S0025,KLP,N,,N,PSBLR03386,,OK,N,,P1023,N,0,X,,1,N,,KOLHAPUR,N,,,,,5.00,Y,0.0,,,A,,BLR,KLP,,MFBLR05519,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203572,KOLHAPUR,,,,,7/24/2007 8:37:00 PM,BLR7/24/200720:37-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,50.00,,,,,,,,,N,,,W00050185,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Billing Party,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,W00050185,N,,,,,,,,,8888 : RAYMOND ZAMBAITI PVT LTD,W00050185 : PERMA WELD (BLR),Kolhapur,632583.
632584,.,7/24/2007 12:00:00 AM,BLR,AMD,N,7/27/2007 12:00:00 AM,8888,NISIKI TECHNOLOGIES PVT LTD,560010,08023371392,8888,NATIONAL POWER TOOL,382330,,2,2,G01,,N,0.00,0.00,0.00,0.00,0.0,35.0,35.0,P03,350,0,0,0,0,0,0,0,0,350,V00040    ,N,,,,,26399,0,632584.,N,,,,N,,0,0,N,S0025,THW,N,,N,PSBLR03386,,OK,N,,P1023,N,0,X,,1,N,BANGALORE,AHMEDABAD,N,,,,,0.00,Y,0.0,,,A,,BLR,AMD,,MFBLR05521,.,THBLR02409,.,,,,,,N,,,0.00,,N,,N,,,,N,N,N,N,N,N,N,N,N,N,,N,N,,,,,,,N,N,0.00,,,N,N,,N,,,,,,,,,N,N,203573,AHMEDABAD,,BANGALORE,,,7/24/2007 8:37:00 PM,BLR7/24/200720:37-P1023,F,,0,,,,UnCleared,,,,,,,,,,,,,,,,F,0.00,,,,,,,,,N,,,,,,0.00,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,N,,,,Consignee,,N,N,Y,Y,,0,0,0,0,0,0,HOO,x  ,, ,0.00,0.00,0.00,0.00,,N,0,0,,0,,0,,0,,,,,,,,,0,,,8888,N,,,,,,,,,8888 : NATIONAL POWER TOOL,8888 : NISIKI TECHNOLOGIES PVT LTD,ASLALI,632584.
