srno,DOCKNO,DOCKSF,DOCKET_MODE,DOCKDT,ORGNCD,DESTCD,REASSIGN_DESTCD,DOC_CURLOC,TOHUB_BR,dly_loc,RUTCD,DOCKDT_Entry,ENTRYBY,dely_dt,CDELDT,TRN_MOD,Service_Class,PAYBAS,PKGSNO,ACTUWT,CHRGWT,DECLVAL,RemQtyPckg,RemActuwt,BKGPDCNO,DLYPDCNO,DKT_STATUS,INSUPL,INSUDT,DECLCODAMT,CODCollected,CODNo,CTR_NO,MODVAT_ENCL,MODVAT_NO,TOT_MODVAT,TOT_COVERS,PKGSTY,PRODCD,spl_svc_req,stax_paidby,stax_regno,ftl_types,fincmplbr,Vendor_Type,TCNO,TCSF,THCNO,THCSF,ARRV_DT,DEP_DT,C_CODE,pkgsno_dly,pkgsno_pending,ACT_PKGSNO,ARRV_PKGSNO,DELIVERED_PKGSNO,FINCLOSEDT,OCT_FINCLOSEDT,DKTRANDOM_NO,RATE_TYPE,PDCUPDT_ATTEMPT,tohub_dest_reassigndt,PDCDT_ATTEMPT,dockchng_updtby,dockchng_updton,PARTY_CODE,Contract_Party,Old_DOCKNO,OLD_DOCKSF,BACODE,COD_DOD,CFT_YN,DIPLOMAT,DACC_YN,Part,draft_YN,INSUYN,rebook,pickup_godown_yn,dely_godown_yn,pickup_door_yn,dely_door_yn,UGC,arrived_YN,dkt_dly,OCTROI,PaidMR,ToPayMR,ToPayBill,ToPayBillMR,OctroiMR,OctroiBill,OctroiBillMR,TBB_Bill,TRIAL_TBB_BILLMR,TBB_BILLMR,TopayBilling,billstatus,sms_YN,trial_tbb_bill,LastEditDate,LastEditBy,LastModeAtEdit,Docket_Status,CFT_TOTAL,PO_Number,SOURCEHUB,DELY_LOC,service_ftl,CUR_LOC,privatemark,tpnumber,CFT2KG,INVOICE_NO,from_loc,PartCN_YN,SKU_YN,permit_yn,permitdt,permit_recvd_dt,permit_recvd_at,Permit_No,permit_validity_dt,LocalCN_YN,POd_remark,mrsno,MRSSF,MRSDT,MRSTYPE,MRSBR,MRS_CLOSED,mrsamt,Closedt,MR_CANCEL,DED_OTH,DED_TDS,remark,netamt,Report_loc,loccode,loc_level,locname,MR,miscchrg,dkttot,csgncd,csgnnm,csgecd,csgenm,arrv_dt_small,mrsdt_small,closedt_small
190873,3690000,.,F,7/27/2007 12:34:00 PM,DEL,BLR,BLR,DEL,,-,,7/27/2007 12:34:00 PM,10061,,7/30/2007 12:00:00 AM,4,1,P01,20,200.0,200.0,1000,,,DEL_/PS/0000015,,,,,0,0,,3690000.,N,,,,G01,P39,,Transporter,,,, ,,,.,,.,,,,,20,,,,,,DEL27/07/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,N,O,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00550,.,7/27/2007 12:00:00 AM,1,DEL,N,1180,,N,0.00,0.00,,1180,NRHQ,DEL,4,DELHI,Y,0,1180.00,8888,KL;K;,8888,UIUIOIU,,27 Jul 2007,
190891,4078000,.,F,8/2/2007 4:37:00 PM,DEL,BLR,BLR,BLR,BLR,-,S0569,8/2/2007 4:37:00 PM,X0719,,8/6/2007 12:00:00 AM,2,2,P01,20,100.0,100.0,234000,20,0.0,,,,,,0,0,,4078000.,N,,,,G02,P22,,Transporter,,,, ,,,.,DEL_/THC/0006515,.,8/2/2007 5:19:00 PM,,C01,,0,,,,,,DEL02/08/2007-X0719,,,,,,,,-,,.,10209, ,N,N,N,N,Y,O,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,MYSORE,20 FT,DEL,,,0,IN6363,AGRA,N,N,N,,,,,,N,,MRDEL00551,.,8/2/2007 12:00:00 AM,1,DEL,Y,13608,8/2/2007 12:00:00 AM,N,200.00,0.00,OK,13408,NRHQ,DEL,4,DELHI,Y,0,13608.00,8888,ABC CARGO,8888,XYZ CARGO,02 Aug 2007,02 Aug 2007,02 Aug 2007
190893,4078001,.,F,8/3/2007 4:45:00 PM,DEL,BLR,BLR,DEL,BLR,-,,8/3/2007 4:45:00 PM,10061,,8/6/2007 12:00:00 AM,4,1,P01,20,40.0,40.0,1000,,,,,,,,0,0,,4078001.,N,,,,G12,P56,,Transporter,,,, ,,,.,,.,,,,,20,,,,,,DEL03/08/2007-10061,,,,,,,,-,,.,10209, ,N,N,N,N,Y,O,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,BANGALORE,,DEL,,,0,444,GURGAON,N,N,N,,,,,,N,,MRDEL00552,.,8/3/2007 12:00:00 AM,1,DEL,N,241,,N,0.00,0.00,,241,NRHQ,DEL,4,DELHI,Y,0,241.00,8888,MR. SINGH,C0010927,L.M.APPAREL,,03 Aug 2007,
190901,4078031,.,F,8/7/2007 11:06:00 AM,DEL,PNQ,PNQ,DEL,PNQ,-,,8/7/2007 11:06:00 AM,10061,,8/7/2007 12:00:00 AM,4,1,P01,20,200.0,300.0,1000,,,DEL_/PS/0000019,,,,,0,0,,4078031.,N,,,,G10,P05,,Transporter,,,, ,,,.,,.,,,,,20,,,,,,DEL07/08/2007-10061,,,,,,,,-,,.,10209, ,N,N,N,N,Y,O,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00553,.,8/7/2007 12:00:00 AM,1,DEL,N,2967,,N,0.00,0.00,,2967,NRHQ,DEL,4,DELHI,Y,0,2967.00,8888,Radha Shyam,8888,JAIN SAGAR,,07 Aug 2007,
190904,4078036,.,F,8/7/2007 12:01:00 PM,DEL,PNQ,PNQ,DEL,PNQ,-,,8/7/2007 12:01:00 PM,10061,,8/7/2007 12:00:00 AM,4,1,P01,20,20.0,200.0,1000,,,DEL_/PS/0000019,,,,,0,0,,4078036.,N,,,,G01,P39,,Transporter,,,, ,,,.,,.,,,,,20,,,,,,DEL07/08/2007-10061,,,,,,,,-,,.,10209, ,N,N,N,N,Y,O,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00554,.,8/7/2007 12:00:00 AM,1,DEL,N,1206,,N,0.00,0.00,,1206,NRHQ,DEL,4,DELHI,Y,0,1206.00,8888,DFGDGDGDG,8888,4TRR,,07 Aug 2007,
190923,5656010,.,F,8/14/2007 9:00:00 PM,DEL,BLR,BLR,DEL,BLR,-,S0565,8/14/2007 9:00:00 PM,10061,,8/18/2007 12:00:00 AM,2,2,P01,20,200.0,200.0,1000,0,0.0,DEL_/PS/0000021,,,,,0,0,,5656010.,N,,,,G01,P39,,Consignor,,,DEL, ,,DEL_/MF/0006929,.,DEL_/THC/0006532,.,,,,,20,,,,,,DEL14/08/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,N,O,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,40 FT,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00560,.,8/14/2007 12:00:00 AM,1,DEL,N,15101,,N,0.00,0.00,,15101,NRHQ,DEL,4,DELHI,Y,0,15101.00,8888,HGJG,8888,YTUTUTY,,14 Aug 2007,
190911,5656012,.,F,8/11/2007 3:58:00 PM,DEL,BLR,BLR,DEL,BLR,-,S0565,8/11/2007 3:58:00 PM,10061,,8/14/2007 12:00:00 AM,4,1,P01,20,20.0,20.0,1000,0,0.0,,,,,,0,0,,5656012.,N,,,,G01,P39,,Transporter,,,, ,,DEL_/MF/0006924,.,DEL_/THC/0006519,.,,,,,20,,,,,,DEL11/08/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,Y,O,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00555,.,8/11/2007 12:00:00 AM,1,DEL,N,303,,N,0.00,0.00,,303,NRHQ,DEL,4,DELHI,Y,0,303.00,8888,ABC,8888,SDF,,11 Aug 2007,
190914,5656036,.,F,8/14/2007 2:42:00 PM,DEL,BLR,BLR,DEL,PNQ,-,,8/14/2007 2:42:00 PM,10061,,8/17/2007 12:00:00 AM,4,1,P01,25,250.0,250.0,10000,0,0.0,,,,,,0,0,,5656036.,N,,,,G01,P39,,Transporter,,,DEL, ,,DEL_/MF/0006930,.,,.,,,,,25,,,,,,DEL14/08/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,Y,O,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00558,.,8/14/2007 12:00:00 AM,1,DEL,N,1506,,N,0.00,0.00,,1506,NRHQ,DEL,4,DELHI,Y,0,1506.00,8888,BCB,8888,YTRY,,14 Aug 2007,
190915,5656037,.,F,8/14/2007 2:42:00 PM,DEL,PNQ,PNQ,DEL,BLR,-,S0565,8/14/2007 2:42:00 PM,10061,,8/14/2007 12:00:00 AM,4,1,P01,20,200.0,200.0,1000,0,0.0,DEL_/PS/0000021,,,,,0,0,,5656037.,N,,,,G01,P39,,Transporter,,,DEL, ,,DEL_/MF/0006925,.,DEL_/THC/0006520,.,,,,,20,,,,,,DEL14/08/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,Y,O,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00557,.,8/14/2007 12:00:00 AM,1,DEL,N,1382,,N,0.00,0.00,,1382,NRHQ,DEL,4,DELHI,Y,0,1382.00,8888,RAM DFGF,8888,RTYTR,,14 Aug 2007,
190916,5656038,.,F,8/14/2007 2:42:00 PM,DEL,BLR,BLR,DEL,BLR,-,S0565,8/14/2007 2:42:00 PM,10061,,8/17/2007 12:00:00 AM,4,1,P01,20,200.0,200.0,10000,0,0.0,DEL_/PS/0000021,,,,,0,0,,5656038.,N,,,,G01,P39,,Transporter,,,DEL, ,,DEL_/MF/0006927,.,DEL_/THC/0006531,.,,,,,20,,,,,,DEL14/08/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,Y,O,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00559,.,8/14/2007 12:00:00 AM,1,DEL,N,1777,,N,0.00,0.00,,1777,NRHQ,DEL,4,DELHI,Y,0,1777.00,8888,FGH,8888,FGHFGH,,14 Aug 2007,
190913,5656046,.,F,8/14/2007 11:38:00 AM,DEL,MYS,MYS,DEL,BLR,-,S0565,8/14/2007 11:38:00 AM,10061,,8/14/2007 12:00:00 AM,4,1,P01,20,200.0,300.0,1022,0,0.0,,,,,,0,0,,5656046.,N,,,,G01,P39,,Transporter,,,, ,,DEL_/MF/0006924,.,DEL_/THC/0006519,.,,,,,20,,,,,,DEL14/08/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,Y,O,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00556,.,8/14/2007 12:00:00 AM,1,DEL,N,1984,,N,0.00,0.00,,1984,NRHQ,DEL,4,DELHI,Y,0,1984.10,8888,RADHA SING,8888,RAJ SINGH,,14 Aug 2007,
190825,7890002,.,F,7/24/2007 12:00:00 AM,DEL,PNQ,PNQ,PNQ,,-,S0565,7/24/2007 12:51:00 PM,10061,,7/24/2007 12:00:00 AM,4,1,P01,30,300.0,350.0,10000,30,0.0,,PNQ_/DS/0009560,,,,0,0,,7890002.,N,,,,G01,P39,,Transporter,,,, ,,,.,DEL_/THC/0006507,.,7/24/2007 3:43:00 PM,,C01,0,30,,30,,,,DEL24/07/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,N,O,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00547,.,7/24/2007 12:00:00 AM,1,DEL,N,2923,,N,0.00,0.00,,2923,NRHQ,DEL,4,DELHI,Y,0,2923.00,8888,GHJG,8888,KHJK,24 Jul 2007,24 Jul 2007,
190826,7890003,.,F,7/24/2007 12:00:00 AM,DEL,MYS,MYS,BLR,NZMR,-,S0565,7/24/2007 12:51:00 PM,10061,,7/24/2007 12:00:00 AM,4,1,P01,50,500.0,500.0,1002,50,0.0,,,,,,0,0,,7890003.,N,,,,G01,P41,,Transporter,,,, ,,,.,DEL_/THC/0006507,.,7/24/2007 4:04:00 PM,,C01,,0,,,,,,DEL24/07/2007-10061,,,,,,,,-,,.,10061, ,N,N,N,N,Y,O,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Uncleared,N,N,,,,,0,,DEL,,,DEL,,,0,INV,,N,N,N,,,,,,N,,MRDEL00548,.,7/24/2007 12:00:00 AM,1,DEL,N,2933,,N,0.00,0.00,,2933,NRHQ,DEL,4,DELHI,Y,0,2933.10,8888,HJK,8888,KLJJ,24 Jul 2007,24 Jul 2007,
