dockno,destcd,paybas,tohub_br,dockdt,docksf,orgncd,csgncd,csgnnm,csgecd,csgenm,arrv_dt,mrsno,mrsdt,mrsamt,finclosedt,netamt,dkttot,ded_tds,ded_oth,remark,dely_dt,Party,report_loc,loccode,locname,loc_level,docket,arrv_dt_small,mrsdt_small,dely_dt_small,finclosedt_small
B220442,DELB,P03,,7/21/2007 12:00:00 AM,.,HYDA,8888,SERVOMAX INDIA,8888,MINDARIKA,7/27/2007 4:33:00 AM,MRDELB04182,7/27/2007 12:00:00 AM,2423,7/28/2007 9:40:24 AM,2422,2422.48,0.00,0.76,MRNO-29478 DATED-28/7/2007,7/27/2007 3:30:00 PM,8888,DELA,DELB,GURGAON,3,B220442.,27 Jul 2007,27 Jul 2007,27 Jul 2007,28 Jul 2007
B220748,DELB,P03,,7/21/2007 12:00:00 AM,.,CJBA,8888,G.PLAST PVT LTD,8888,SIEMENS LTD,7/27/2007 4:39:00 AM,MRDELB04183,7/27/2007 12:00:00 AM,340,7/28/2007 9:39:15 AM,340,340.00,0.00,0.00,MRNO-29477 DATED-28/7/2007,7/27/2007 3:30:00 PM,8888,DELA,DELB,GURGAON,3,B220748.,27 Jul 2007,27 Jul 2007,27 Jul 2007,28 Jul 2007
B225764,DELB,P03,,7/21/2007 12:00:00 AM,.,BLRB,8888,HARITHA SEATING SYSTEMS,8888,ROAY TRAVELLS SERVICES,7/27/2007 4:35:00 AM,MRDELB04185,7/27/2007 12:00:00 AM,1352,,1352,1352.00,0.00,0.00,,,8888,DELA,DELB,GURGAON,3,B225764.,27 Jul 2007,27 Jul 2007,,
B227302,DELB,P03,,7/21/2007 12:00:00 AM,.,CJBA,8888,SARAVANA ENGINEERING,8888,MODERN REFRIGERATION,7/27/2007 4:39:00 AM,MRDELB04184,7/27/2007 12:00:00 AM,1208,7/28/2007 9:42:20 AM,1208,1208.00,0.00,0.00,MRNO-29480 DATED-28/7/2007,7/27/2007 3:30:00 PM,8888,DELA,DELB,GURGAON,3,B227302.,27 Jul 2007,27 Jul 2007,27 Jul 2007,28 Jul 2007
B227305,DELB,P03,,7/21/2007 12:00:00 AM,.,CJBA,8888,RAMSIVE PNEUMATICS ,8888,A.R.POINT SPARE HOUSE,7/27/2007 4:39:00 AM,MRDELB04188,7/28/2007 12:00:00 AM,390,,390,390.00,0.00,0.00,,7/27/2007 3:30:00 PM,8888,DELA,DELB,GURGAON,3,B227305.,27 Jul 2007,28 Jul 2007,27 Jul 2007,
B227420,DELB,P03,,7/23/2007 12:00:00 AM,.,BLRB,8888,CHARNOCK AUTO PRODUCTS,8888,SAI EQUIPMENTS SERVICES,7/28/2007 5:08:00 AM,MRDELB04189,7/28/2007 12:00:00 AM,562,,562,562.00,0.00,0.00,,,8888,DELA,DELB,GURGAON,3,B227420.,28 Jul 2007,28 Jul 2007,,
D131499,DELB,P03,,7/24/2007 12:00:00 AM,.,AMBA,8888,AERO CLUB ,8888,K.K. ENTERPRISE.,7/26/2007 6:50:00 PM,MRDELB04192,7/28/2007 12:00:00 AM,2758,,2758,2758.44,0.00,0.00,,,8888,DELA,DELB,GURGAON,3,D131499.,26 Jul 2007,28 Jul 2007,,
D162799,DELB,P03,,7/26/2007 12:00:00 AM,.,KNUA,8888,KWALITY FOAM,8888,DRISH SHOES,7/28/2007 6:54:00 AM,MRDELB04190,7/28/2007 12:00:00 AM,360,,360,359.55,0.00,0.00,,,8888,DELA,DELB,GURGAON,3,D162799.,28 Jul 2007,28 Jul 2007,,
K221375,DELB,P03,,7/21/2007 12:00:00 AM,.,AMDA,8888,ADCO  CONTROL,8888,SPAN  ELEVATORS,7/24/2007 10:31:00 AM,MRDELB04166,7/24/2007 12:00:00 AM,316,7/25/2007 9:57:36 AM,315,316.01,0.00,1.01,MRNO-29450 DATED-25/7/2007,7/24/2007 5:00:00 PM,8888,DELA,DELB,GURGAON,3,K221375.,24 Jul 2007,24 Jul 2007,24 Jul 2007,25 Jul 2007
K221376,DELB,P03,,7/21/2007 12:00:00 AM,.,AMDA,8888,ADCO  CONTROL,8888,VICTOR  TECHNOLOGY,7/24/2007 10:31:00 AM,MRDELB04167,7/24/2007 12:00:00 AM,316,7/25/2007 10:00:23 AM,315,316.01,0.00,1.01,MRNO-29452 DATED-25/7/2007,7/24/2007 3:00:00 PM,8888,DELA,DELB,GURGAON,3,K221376.,24 Jul 2007,24 Jul 2007,24 Jul 2007,25 Jul 2007
K221377,DELB,P03,,7/21/2007 12:00:00 AM,.,AMDA,8888,ADCO,8888,ORNEX   ELEVATORS,7/24/2007 10:31:00 AM,MRDELB04170,7/24/2007 12:00:00 AM,592,7/26/2007 8:42:20 AM,592,592.14,0.00,0.00,MRNO-29462 DATED-26/7/2007,7/25/2007 5:00:00 PM,8888,DELA,DELB,GURGAON,3,K221377.,24 Jul 2007,24 Jul 2007,25 Jul 2007,26 Jul 2007
K221378,DELB,P03,,7/21/2007 12:00:00 AM,.,AMDA,8888,ADCO  ELEVATORS,8888,OSKARELEVATORS,7/24/2007 10:31:00 AM,MRDELB04171,7/24/2007 12:00:00 AM,282,7/26/2007 8:43:29 AM,282,282.02,0.00,0.00,MRNO-29462 DATED-26/7/2007,7/25/2007 5:00:00 PM,8888,DELA,DELB,GURGAON,3,K221378.,24 Jul 2007,24 Jul 2007,25 Jul 2007,26 Jul 2007
K223942,DELB,P03,,7/21/2007 12:00:00 AM,.,BDQA,8888,AGNI FIBRE ,8888,PARAS IMPO EXPO,7/23/2007 11:03:00 AM,MRDELB04156,7/23/2007 12:00:00 AM,3363,7/24/2007 9:38:02 AM,3363,3362.43,0.00,0.00,OK,7/23/2007 3:36:00 PM,8888,DELA,DELB,GURGAON,3,K223942.,23 Jul 2007,23 Jul 2007,23 Jul 2007,24 Jul 2007
K227449,DELB,P03,,7/21/2007 12:00:00 AM,.,MUMB,8888,POINEER INDS ,8888,UTTAM POWER TOOS ,7/24/2007 10:45:00 AM,MRDELB04168,7/24/2007 12:00:00 AM,333,7/28/2007 9:41:20 AM,333,333.00,0.00,0.00,MRNO-29479 DATED-28/7/2007,7/27/2007 3:30:00 PM,8888,DELA,DELB,GURGAON,3,K227449.,24 Jul 2007,24 Jul 2007,27 Jul 2007,28 Jul 2007
KT32887,DELB,P03,,7/21/2007 12:00:00 AM,.,IDRA,8888,SONIC BIOCHEM  LTD,8888,KESHAR RAM RAJKUMAR,7/25/2007 11:30:00 AM,MRDELB04176,7/25/2007 12:00:00 AM,9000,,9000,9000.00,0.00,0.00,,7/24/2007 3:00:00 PM,8888,DELA,DELB,GURGAON,3,KT32887.,25 Jul 2007,25 Jul 2007,24 Jul 2007,
