loccode,locname,TOtal_dkt,dkttot,actuwt,freight,tot_Pkgs,Detained
MRT,MRT:MEERUT,5,30377.00,5125.0,27036.00,153,0
AHD,AHD:Ahmedabad,56,93613.00,13565.0,83393.00,623,0
BDQ,BDQ:Baroda,38,45743.00,5260.0,40769.00,217,0
BHN,BHN:BHAVNAGAR,3,1686.00,160.0,1500.00,3,0
GDN,GDN:GANDHINAGAR,4,5604.00,784.0,4988.00,17,0
JMN,JMN:JAMNAGAR,7,12165.00,1640.0,10920.00,34,0
MHN,MHN:MEHSANA,1,1216.00,170.0,1082.00,4,0
RJT,RJT:RAJKOT,8,14713.00,1860.0,13093.00,29,0
SKJ,SKJ:SARKHEJ,56,100944.00,13414.0,91324.00,673,0
SLV,SLV:SILVASA,3,3512.00,575.0,3126.00,23,0
SUR,SUR:Surat,18,14075.00,1711.0,12615.00,72,0
VAP,VAP:Vapi,19,41458.00,5847.0,36960.00,445,0
ANK,ANK:ANKLESHWAR,1,562.00,40.0,500.00,2,0
BLR,BLR:Bangalore,114,243980.00,28564.0,217217.00,1091,0
CJB,CJB:Coimbatore,28,62237.00,7731.0,56415.00,337,0
CLT,CLT:CALICUT,2,2709.00,166.0,2411.00,6,0
CON,CON:COCHIN,18,40840.04,3566.0,36349.04,225,0
ERO,ERO:Erode,3,6399.00,778.0,5694.00,34,0
HSR,HSR:HOSUR,2,1799.00,98.0,1601.00,2,0
MDU,MDU:MADURAI,4,7082.00,825.0,6303.00,25,0
MYS,MYS:Mysoure,2,12632.00,2060.0,11242.00,91,0
NLM,NLM:Neelmangla,205,341550.34,44969.0,306610.34,2008,0
PGT,PGT:PALGHAT,1,843.00,57.0,750.00,2,0
TPR,TPR:Tirupur,3,2899.00,326.0,2580.00,19,0
CNN,CNN:Chennai,199,521207.00,76699.0,467124.00,3462,0
PDY,PDY:Pondichery,35,62420.70,7202.0,56484.70,352,0
ARO,ARO:Ahmedabad,1,225.00,232.0,200.00,11,0
BRO,BRO:Bangalore,1,1686.00,95.0,1501.00,10,0
DDN,DDN:DEHRADUN,9,16680.00,2313.0,14884.00,145,0
H001,H001:HARIDWAR,5,15451.00,1811.0,13751.00,31,0
HRO,HRO:Hyderabad,1,955.00,120.0,850.00,3,0
IRO,IRO:Chandigarh,3,8800.00,1915.0,7831.00,115,0
MBD,MBD:MURADABAD,1,900.00,50.0,801.00,4,0
RRKI,RRKI:ROURKI,2,26453.00,1345.0,25695.00,299,0
BHD,BHD:BHIWADI,1,1656.00,158.0,1474.00,14,0
DEL,DEL:DELHI,211,473665.24,64383.0,424391.24,6973,0
FAR,FAR:FARIDABAD,20,327832.00,4841.0,291822.00,99,0
GGN,GGN:Gurgaon,53,87105.00,8877.0,78609.00,532,0
GZB,GZB:Ghaziabad,29,79982.00,10556.0,72519.00,561,0
IDG,IDG:IDGAH,9,19952.00,3594.0,17756.00,132,0
KRL,KRL:KARNAL,1,1000.00,65.0,890.00,5,0
MAN,MAN:Manesar,27,65141.00,7688.0,58429.00,349,0
NAR,NAR:Naryana,17,54957.00,7610.0,51197.00,388,0
NDA,NDA:Noida,29,191993.00,44049.0,181413.00,707,0
OKH,OKH:OKHLA,3,2199.00,116.0,2044.00,3,0
PNP,PNP:PANIPAT,3,4110.00,460.0,3657.00,11,0
RDP,RDP:RUDRAPUR,3,7221.00,318.0,6427.00,27,0
WZR,WZR:Wazirpur,9,10601.00,1432.0,9469.00,58,0
HYD,HYD:Hyderabad,171,336995.00,39419.0,301402.00,1318,0
RIP,RIP:RAIPUR,1,15281.00,2000.0,13600.00,15,0
VPT,VPT:VISHAKHAAPATNAM,6,4923.00,281.0,4381.00,13,0
VWD,VWD:Vijaywada,5,5499.00,603.0,5078.00,16,0
AML,AML:Ambala,12,35623.00,5724.0,32015.00,381,0
ATQ,ATQ:Amritsar,11,10694.00,1201.0,9718.00,59,0
BDI,BDI:Baddi,37,105715.00,9058.0,101646.00,355,0
IXH,IXH:Chandigarh,52,114044.00,15896.0,101944.00,738,0
JMU,JMU:JAMMU,32,169246.00,17752.0,152848.00,732,0
JRD,JRD:Jalandhar,22,226997.00,25957.0,202574.00,197,0
LDH,LDH:Ludhiana,30,58220.88,9881.0,52108.88,497,0
PWN,PWN:Parwanoo,9,8107.00,850.0,7310.00,70,0
AGR,AGR:Agra,17,21944.00,2830.0,19896.00,166,0
AJR,AJR:AJMER,5,4059.00,340.0,3612.00,10,0
BHP,BHP:BHOPAL,6,6562.00,915.0,5840.00,17,0
BKN,BKN:BIKANER,2,3121.00,657.0,2778.00,13,0
IND,IND:INDORE,38,95241.00,13281.0,85342.00,599,0
JAI,JAI:Jaipur,89,271324.00,34943.0,243188.00,1469,0
JDH,JDH:Jodhpur,4,3241.00,430.0,2885.00,22,0
KNP,KNP:KANPUR,23,33343.00,4275.0,29848.00,221,0
KOT,KOT:KOTA,9,13134.00,1817.0,11689.00,47,0
LKH,LKH:LUCKNOW,35,126595.02,18149.0,114981.02,878,0
UDI,UDI:Udaipur,8,15873.00,2264.0,14317.00,79,0
VAR,VAR:VARANASI,3,4620.00,743.0,4115.00,59,0
KOL,KOL:KOLKATTA,10,67021.00,5994.0,59655.00,448,0
AND,AND:ANDHERI,3,1517.00,210.0,1350.00,5,0
BND,BND:BHIWANDI,4,9074.00,922.0,8081.00,56,0
MHP,MHP:KAMAN,8,11096.00,1232.0,9886.00,64,0
MUM,MUM:Mumbai,179,391234.56,49186.0,348488.56,2522,0
VAS,VAS:VASAI,4,3777.00,253.0,3361.00,5,0
VSI,VSI:VASHI,7,35019.00,5737.0,31966.00,147,0
AHR,AHR:Ahmednagar,4,7406.00,707.0,6591.00,19,0
AUR,AUR:AURANGABAD,6,11198.00,1800.0,9973.00,39,0
GOA,GOA:GOA,36,74379.00,8308.0,66517.00,327,0
NGP,NGP:NAGPUR,16,21200.00,2190.0,18959.00,112,0
NSK,NSK:NASHIK,9,15882.00,1672.0,14139.00,110,0
PNQ,PNQ:Pune,237,254977.00,31470.0,229502.00,1472,0
